"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
His brain was a peculiar medium; the ideas which passed through it issued forth completely distorted.	Son cerveau était un milieu particulier : les idées qui le traversaient en sortaient toutes tordues.
The cavalcade trotted on more sharply.	La cavalcade prit le grand trot.
He continually saw it there, swollen, greenish, with the red moustache and the crushed face.	Continuellement, il le voyait, gonflé, verdi, avec ses moustaches rouges, dans sa face broyée.
To save trouble, we will establish our manufactory at the place of production.	Pour éviter les transports, nous établirons notre atelier au lieu même de production.
Milady asked some questions about the carriage. It was a chaise drawn by three horses, driven by a postillion; Rochefort’s lackey would precede it, as courier.	Milady fit quelques questions sur la voiture: c'était une chaise attelée de trois chevaux, conduite par un postillon; le laquais de Rochefort devait la précéder en courrier.
Sur quoi l’on a dit qu’on voit bien que Rassi est sans quartier.	Which has given rise to the saying that it is clear that Rassi gives no quarter."
Some ham, my boy, or we can’t drink."	Du jambon, drôle, cria Athos, nous ne pouvons plus boire!
He vaguely divined that lawful methods might one day be more terrible.	Vaguement, il devinait que la légalité, un jour, pouvait etre plus terrible.
"Courage, Master Simon!"	– Hardi, maître Simon !
He blew out the light.	Il souffla la lumière.
Oh! infinite pleasure! a slender sip of water came to moisten my burning mouth. It was but one sip but it was enough to recall my ebbing life.	Oh! jouissance infinie! une gorgée d'eau vint humecter ma bouche en feu, une seule, mais elle suffit à rappeler en moi la vie qui s'échappait.
"But why," asked Bovary, "does that gentleman persecute her?"	-- Pourquoi donc, demanda Bovary, ce seigneur est-il à la persécuter?
When he had descended to the platform between the towers, his ideas were all in confusion.	Quand il était descendu sur la plate-forme d’entre les tours, ses idées étaient en confusion dans sa tête.
"You mean that the thing is supernatural?"	– Vous voulez dire qu’il s’agit d’une chose surnaturelle ?
This magnificent radiance had to come from some force with a great illuminating capacity.	Cette magnifique irradiation devait être produite par un agent d'une grande puissance éclairante.
The more outre and grotesque an incident is the more carefully it deserves to be examined, and the very point which appears to complicate a case is, when duly considered and scientifically handled, the one which is most likely to elucidate it.	Plus un détail apparaît outré plus il mérite de retenir l’attention ! Le détail qui semble compliquer un cas devient, pour peu qu’il soit considéré et manié scientifiquement, celui qui permet au contraire de l’élucider le plus complètement.
He sank one, captured one, and chased the third.	Il en a coulé un, capturé un autre et forcé le troisième a la fuite.
"For everything," cried d’Artagnan, who knew beforehand that he had not much to risk in engaging himself thus.	-- À tout! s'écria d'Artagnan qui savait d'avance qu'il n'avait pas grand-chose à risquer en s'engageant ainsi.
And he longed also to be dying of hunger, to have an empty belly, a stomach twisted by cramps that would make his head turn with giddiness: perhaps that would have killed the eternal pain.	Et il souhaitait aussi de crever la faim, d'avoir le ventre vide, l'estomac tordu de crampes ébranlant le cerveau d'un vertige: peut-etre cela aurait-il tué l'éternelle douleur.
If it killed us! well, that would be a sad thing for our friends and relations, but it could not be helped.	Bien sur, cette derniere perspective était bien triste pour nos parents et amis, mais nous n’y pouvions rien.
Shrubs, and even a few trees, emerged from crevices in the walls.	Quelques arbustes et même certains arbres sortaient des anfractuosités de la paroi.
Un soir, assis seul dans sa demeure, il réfléchissait encore a la terrible position dans laquelle il se trouvait et cherchait vainement, un moyen d’en sortir.	He was sitting alone one evening pondering deeply over his troubles, and searching vainly for some way out of them.
_Master_.—How beat? If your nation beat them, how came you to be taken?	Le maître.--Comment battre! si ta nation les a battus, comment se fait-il que tu aies été pris?
"Do you think that to be an agriculturist it is necessary to have tilled the earth or fattened fowls oneself?	-- Croyez-vous qu’il faille, pour être agronome, avoir soi-même labouré la terre ou engraissé des volailles?
I never felt quite the same to our lodger after that little business at the Peel Castle.	Depuis le petit incident de la Tour d'alarme, mes sentiments à l'égard de notre locataire n'étaient plus les mêmes.
He grew still more pale under the electric light that bathed his deathbed.	Sa pâleur s'accroissait encore sous l'éclat électrique qui baignait son lit de mort.
Dom Claude hardly looked at his brother; his thoughts were elsewhere.	Dom Claude regarda à peine son frère. Il avait d’autres songes.
He failed entirely to understand the character of the singular person whom chance had now made absolute mistress of his whole happiness.	Il ne comprenait nullement le caractère de la personne singulière que le hasard venait de rendre maîtresse absolue de tout son bonheur.
They would never see him; they only felt him as a force far off, which weighed on the ten thousand colliers of Montsou.	Jamais ils ne le verraient, ils le sentaient seulement comme une force qui, de loin, pesait sur les dix mille charbonniers de Montsou.
CHAPTER 25 The Seminary	Chapitre XXV. Le Séminaire
— Quitter l’Utah ?	"Leave Utah!"
He came up with her before she had traversed a third of the street.	Il la rejoignit donc au tiers de la rue dans laquelle elle s'était engagée.
After this meeting, Passepartout and Fix got into the habit of chatting together, the latter making it a point to gain the worthy man's confidence.	Depuis cette rencontre, Passepartout et Fix causèrent souvent ensemble. L'inspecteur de police tenait à se lier avec le domestique du sieur Fogg.
We discussed philosophy and ethics.	On discuta philosophie et morale.
"I expected this," said Felton.	«Je m'en étais douté, dit Felton.
We kept it in the nose of the boat, and, from there, it oozed down to the rudder, impregnating the whole boat and everything in it on its way, and it oozed over the river, and saturated the scenery and spoilt the atmosphere.	Nous l’avions isolé tout a l’avant du canot, mais cela ne l’empechait nullement de suinter jusqu’au gouvernail, imprégnant le bateau entier et tout ce qui se trouvait sur son chemin. Il suintait sur le fleuve, saturait le paysage et polluait l’atmosphere.
Coming home from Toulon one evening, he had found her wandering in great distress in one of the gardens of Bourges which are called Les Marais.	Lui-même, en revenant de Toulon, l’avait rencontrée un soir, désolée, dans un de ces jardins de Bourges qu’on appelle les Marais.
Julien did not make the mistake of pretending to know them; he admitted his ignorance with good grace.	Julien n’eut point la sottise de prétendre les savoir ; il avoua de bonne grâce son ignorance.
"An illustrious man anywhere!"	--Un homme illustre entre tous?
"You come and gorge yourself here, when we are dying of hunger up above?"	Tu descends te goberger ici, quand nous crevons de faim la-haut?
I hope to heaven that he has gone, for he has brought nothing but trouble here!	Je prie le Ciel qu’il soit parti car il ne nous a apporté que des ennuis.
Mr. Fogg still held Aouda's hand in his own; Passepartout understood, and his big, round face became as radiant as the tropical sun at its zenith.	Aouda. Passepartout comprit, et sa large face rayonna comme le soleil au zénith des régions tropicales.
She seated herself at the counter, and signed a cheque for 5,000 francs, which Laurent was to present to her banker.	Elle s'assit au comptoir et signa un bon de cinq mille francs que Laurent devait toucher chez un banquier.
Twice he returned to the charge without extracting anything else but exasperated shrugs of the shoulder.	Deux fois, il revint a la charge, sans tirer de lui autre chose que des haussements d'épaules exaspérés.
To people.	A des gens.
"Granted. But it is likewise the creed adopted by other distinguished geologists, that the interior of the globe is neither gas nor water, nor any of the heaviest minerals known, for in none of these cases would the earth weigh what it does."	--D'accord, mais c'est aussi l'avis d'autres géologues distingués, que l'intérieur du globe n'est formé ni de gaz ni d'eau, ni des plus lourdes pierres que nous connaissions, car, dans ce cas, la terre aurait un poids deux fois moindre.
'Do, then,' says she, 'and be sure you take of it.'	--Prenez-le donc, dit-elle; et jurez-moi d'y faire bien attention.
Quasimodo, impassive, with both elbows propped on the balustrade, looked on.	Quasimodo impassible, les deux coudes appuyés sur la balustrade, regardait.
The varied landscape afforded by the Andaman Islands was soon passed, however, and the Rangoon rapidly approached the Straits of Malacca, which gave access to the China seas.	Mais tout ce spectacle varié, offert aux regards par le groupe des Andaman, passa vite, et le Rangoon s'achemina rapidement vers le détroit de Malacca, qui devait lui donner accès dans les mers de la Chine.
It will be in Brookes's and White's to-morrow morning.	Elle sera demain matin chez Buookes et chez White.
Je crains que la crédulité de Fabrice ne le prive de la sympathie du lecteur ; mais enfin, il était ainsi, pourquoi le flatter lui plutôt qu’un autre ?	I am afraid that Fabrizio's credulity may make him forfeit the sympathy of the reader; but after all thus it was; why flatter him more than another?
This thought obsessed Madame de Renal throughout the time which she had meant to pass in prayer in this church.	Cette idée obséda Mme de Rênal tout le temps qu’elle comptait passer à prier dans cette église.
The cloister door was shut; but the archdeacon always carried with him the key of the tower in which his laboratory was situated.	La porte du cloître était fermée. Mais l’archidiacre avait toujours sur lui la clef de la tour où était son laboratoire.
"I am obliged to agree; but, after all, it is surprising."	--Je suis forcé d'en convenir, mais enfin cela m'étonne.
"You write uncommonly fast."	– Vous écrivez vraiment avec une rapidité merveilleuse.
"No," said Harris, "if you want rest and change, you can't beat a sea trip."	« Non, dit-il, quand on cherche le repos et le dépaysement, rien de tel qu’une croisiere en mer ! »
There silver-plated dinnerware gleamed under rays pouring from light fixtures in the ceiling, whose glare was softened and tempered by delicately painted designs.	La vaisselle plate y resplendissait sous les rayons que versait un plafond lumineux, dont de fines peintures tamisaient et adoucissaient l'éclat.
Did he still cherish hope?	Conservait-il quelque espoir ?
But he would have been still more surprised had he seen the peace and kindliness which reigns now in the hearts of men, and the talk in the papers and at the meetings that there is to be no more war--save, of course, with blacks and such like.	Mais il aurait éprouvé une bien autre surprise en voyant le calme et l'esprit de bienveillance qui règnent actuellement dans le coeur des hommes, en lisant dans les journaux et entendant dire dans les réunions qu'il ne faut plus de guerre, excepté bien entendu, avec les nègres et leurs pareils.
"I did," said I, dropping my voice, so that Leah, who was still polishing the panes, could not hear me, "and at first I thought it was Pilot: but Pilot cannot laugh; and I am certain I heard a laugh, and a strange one."	-- Oui, répondis-je en baissant la voix afin de ne pas être entendue de Leah, qui lavait toujours les carreaux: j'ai d'abord cru que c'était Pilote; mais Pilote ne rit pas, et je suis certaine d'avoir entendu un rire fort bizarre.»
During their voyage they amused themselves with many profound reasonings on poor Pangloss's philosophy.	Pendant toute la traversée ils raisonnèrent beaucoup sur la philosophie du pauvre Pangloss.
A bright idea came into Alice's head.	Une brillante idée traversa l’esprit d’Alice.
A gleam of hope made her hasten, for she had recognized the Montsou priest, Abbé Joire, who said mass on Sundays at the settlement chapel. No doubt he had just come out of the sacristy, where he had been called to settle some affair.	Un espoir la fit se hâter, car elle avait reconnu le curé de Montsou, l'abbé Joire, qui disait la messe le dimanche a la chapelle du coron: sans doute il sortait de la sacristie, ou le reglement de quelque affaire l'avait appelé.
Hennebeau looked on in silence, turning from his wife to this lover whom in the morning he had been swearing to kill, then to this young girl by whom he would, no doubt, soon be freed from him.	M. Hennebeau regardait en silence, allait de sa femme a cet amant qu'il jurait de tuer le matin, puis a cette jeune fille qui l'en débarrasserait bientôt sans doute.
"Come, Axel, come, you miserable wretch," my uncle cried from as far off as he could see me. "Your boxes are not packed, and my papers are not arranged; where's the key of my carpet bag? and what have you done with my gaiters?"	«Mais viens donc, Axel; hâte-toi donc, malheureux! s'écria mon oncle du plus loin qu'il m'aperçut, et ta malle qui n'est pas faite, et mes papiers qui ne sont pas en ordre, et mon sac de voyage dont je ne trouve pas la clef, et mes guêtres qui n'arrivent pas!»
I promise you, not only will the Nautilus float clear, it will go farther still!"	Moi, je vous affirme que non seulement le _Nautilus_ se dégagera, mais qu'il ira plus loin encore !
The poor savage who fled, but had stopped, though he saw both his enemies fallen and killed, as he thought, yet was so frightened with the fire and noise of my piece that he stood stock still, and neither came forward nor went backward, though he seemed rather inclined still to fly than to come on.	Le pauvre Sauvage échappé avait fait halte; mais, bien qu'il vît ses deux ennemis mordre la poussière, il était pourtant si épouvanté du feu et du bruit de mon arme, qu'il demeura pétrifié, n'osant aller ni en avant ni en arrière. Il me parut cependant plutôt disposé à s'enfuir encore qu'à s'approcher.
All day Millie had waited for the station omnibus to bring her a hat for the bad weather.	Toute la journée, Millie avait attendu une voiture de La Gare qui devait lui apporter un chapeau pour la mauvaise saison.
In winter, they were at the mercy of the bad season.	En hiver, on était à la merci de la mauvaise saison.
The telegraphic wire between the corral and Granite House had of course been repaired, and it was worked whenever one or other of the settlers was at the corral and found it necessary to spend the night there.	Il va sans dire que le fil télégraphique jeté entre le corral et Granite-House avait été rétabli, et qu'il fonctionnait, lorsque l'un ou l'autre des colons se trouvait au corral et jugeait nécessaire d'y passer la nuit.
The coach, therefore, took them the first stage of their journey, and brought its master back to Longbourn.	Bennet. La voiture les transporta donc jusqu’au premier relais et revint a Longbourn avec son maître.
He experienced no thrill, and at these moments the idea had never occurred to him of planting a warm kiss on her lips as she struggled with a nervous laugh to free herself.	Et jamais il ne lui était venu la pensée, en ces moments, de baiser les lèvres chaudes de Thérèse, qui se débattait en riant d'un rire nerveux.
I made no answer; and I returned in silence to my lava seat in a state of utter speechless consternation.	Je ne répondis pas, et je revins consterné à mon banc de lave.
So let us go and get killed where we are told to go.	Allons nous faire tuer où l'on nous dit d'aller.
And the lesson went on as before.	Et la classe reprit comme auparavant.
"Well," resumed Mr. Rochester, "if you disown parents, you must have some sort of kinsfolk: uncles and aunts?"	«Eh bien! dit M. Rochester, si vous n'avez ni père ni mère, vous devez au moins avoir des oncles ou des tantes?
"If Ushant lay three leagues upon your starboard quarter, what would be your nearest English port?"	-- Et si vous aviez Wissant à trois lieues à tribord, quel serait votre port d'Angleterre le plus rapproché?
"Saved, isn't he?" repeated Herbert; "saved, Top?"	«Sauvé, n'est-ce pas? répétait Harbert, sauvé, Top?»
By the way"--his eyes darted again from my face to Holmes's--"did you hear anything else besides a cry?"	À propos… » Son regard perçant alla de nouveau se poser alternativement sur Holmes et sur moi. « … Avez-vous entendu autre chose que les cris ?
Was I approaching some natural phenomenon still unknown to scientists on shore?	Allais-je vers un phénomène naturel encore inconnu des savants de la terre ?
Was the Abraham Lincoln tacking about?	L'_Abraham-Lincoln_ avait-il viré de bord ?
It must have been a serious and unexpected threat, for the young fellow could not help turning round and looking at the other, who, to carry it through, grinned and poked his neighbours in the ribs as if to bring them onto his side . . . All this happened in a few seconds.	Ce devait être une menace grave et inattendue, car le jeune homme ne put s’empêcher de se retourner et de regarder l’autre, qui, pour ne pas perdre contenance, ricanait, poussait ses voisins du coude, comme pour les mettre de son côté… Tout ceci se passa d’ailleurs en quelques secondes.
Pencroft probably agreed with this decision, for he followed the reporter without making any objection when the latter turned back to the wood.	Pencroff, probablement, partagea cette manière de voir, car il ne fit aucune difficulté de suivre le reporter, quand celui-ci replia sous le bois.
Our electric bullets are ineffective against such soft flesh, where they don't meet enough resistance to go off.	Les balles électriques sont impuissantes contre ces chairs molles où elles ne trouvent pas assez de résistance pour éclater.
The mother-in-law replied that she had nothing more, the winding up was over, and there was due to them besides Barneville an income of six hundred francs, that she would pay them punctually.	La belle-mère répondit n’avoir plus rien; la liquidation était close, et il leur restait, outre Barneville, six cents livres de rente, qu’elle leur servirait exactement.
"What is that?" asked Aramis.	«Qu'est-ce là? demanda Aramis.
She gave a nervous start on recognising the Marechale's handwriting.	Elle eut un mouvement nerveux bien marqué quand elle reconnut l’écriture de la maréchale.
Leaving the Nautilus under these conditions would have been like jumping off a train racing at this speed, a rash move if there ever was one.	Quitter le _Nautilus_ dans ces conditions, c'eût été sauter d'un train marchant avec cette rapidité, manoeuvre imprudente s'il en fut.
And as it is three months since you have been here, and though, distracted as you must be in your important occupations, you have forgotten to pay me my rent--as, I say, I have not tormented you a single instant, I thought you would appreciate my delicacy."	Et comme depuis trois mois que vous êtes chez moi, et que distrait sans doute par vos grandes occupations vous avez oublié de me payer mon loyer; comme, dis-je, je ne vous ai pas tourmenté un seul instant, j'ai pensé que vous auriez égard à ma délicatesse.
These words were, so to speak, the point of union of two scenes, which had, up to that time, been developed in parallel lines at the same moment, each on its particular theatre; one, that which the reader has just perused, in the Rat−Hole; the other, which he is about to read, on the ladder of the pillory.	Ces paroles étaient, pour ainsi dire, le point de jonction de deux scènes qui s’étaient jusque-là développées parallèlement dans le même moment, chacune sur son théâtre particulier, l’une, celle qu’on vient de lire, dans le Trou aux Rats, l’autre, qu’on va lire, sur l’échelle du pilori.
I was purchased by a merchant who carried me to Tunis. This man sold me to another merchant, who sold me again to another at Tripoli; from Tripoli I was sold to Alexandria, from Alexandria to Smyrna, and from Smyrna to Constantinople.	Un marchand m'acheta, et me mena à Tunis; il me vendit à un autre marchand qui me revendit à Tripoli; de Tripoli je fus revendue à Alexandrie, d'Alexandrie revendue à Smyrne; de Smyrne à Constantinople.
Now the wool furnished by the musmons was composed of very short hairs, and was in a good condition to be felted.	Or, précisément, la laine fournie par les mouflons était faite de brins très courts, et c'est une bonne condition pour le feutrage.
It disappeared in his glove; and, with one hasty nod and "good-afternoon," he vanished.	Ce papier disparut dans son gant; puis il me salua rapidement, me dit adieu et disparut.
I saw several chests, which I believe belonged to some of the seamen; and I got two of them into the boat, without examining what was in them.	Je trouvai aussi plusieurs coffres qui me parurent avoir appartenu à des matelots, et j'en portai deux dans ma barque sans examiner ce qu'ils contenaient.
From this deficiency of nourishment resulted an abuse, which pressed hardly on the younger pupils: whenever the famished great girls had an opportunity, they would coax or menace the little ones out of their portion.	Douées de ces grands appétits des enfants en croissance, nous avions à peine de quoi nous soutenir. Il en résultait un abus dont les plus jeunes avaient seules à se plaindre.
Immediately on his return to Paris, and on leaving the study of the Marquis de La Mole, who appeared greatly disconcerted by the messages that were conveyed to him, our hero hastened to find Conte Altamira.	À peine de retour à Paris, et au sortir du cabinet du marquis de La Mole, qui parut fort déconcerté des dépêches qu’on lui présentait, notre héros courut chez le comte Altamira.
We only decided after I met Dr. Mortimer."	Nous ne l’avons décidé qu’après notre entrevue, le docteur Mortimer et moi.
It is in scenes of strife and danger--where courage is proved, and energy exercised, and fortitude tasked--that he will speak and move, the leader and superior. A merry child would have the advantage of him on this hearth. He is right to choose a missionary's career--I see it now."	C'est dans une vie de lutte et de danger, où le courage, l'énergie et la force d'âme sont nécessaires, qu'il parlera et agira, qu'il sera le chef et le supérieur, tandis que devant ce foyer un joyeux enfant l'emporterait sur lui; je le vois maintenant, il a raison de vouloir être missionnaire.
"That's all that I've found," he said.	—Voila tout ce que j'ai trouvé, dit-il.
Immediately eight swords glittered in the rays of the setting sun, and the combat began with an animosity very natural between men twice enemies.	Et aussitôt huit épées brillèrent aux rayons du soleil couchant, et le combat commença avec un acharnement bien naturel entre gens deux fois ennemis.
"Yes, we will save him!" replied the reporter.	-- Oui, nous le sauverons! répondit le reporter.
The abyss was there below him.	L’abîme était au-dessous de lui.
I love to keep it by me: the idea of getting rid of it nearly breaks my heart.	J’apprécie énormément sa compagnie, et l’idée d’en etre séparé me brise le coeur.
Such should be my device, were I a man."	Voilà quelle serait ma devise, si j'étais homme!
Ayrton undressed and rubbed himself with grease, so as to suffer less from the temperature of the water, which was still cold.	Ayrton se déshabilla et se frotta de graisse, de manière à moins souffrir de la température de l'eau, qui était encore froide.
A heavy wind was blowing; Emma felt weak as she walked; the stones of the pavement hurt her; she was doubtful whether she would not go home again, or go in somewhere to rest.	Un vent lourd soufflait. Emma se sentait faible en marchant; les cailloux du trottoir la blessaient; elle hésita si elle ne s’en retournerait pas chez elle, ou entrerait quelque part pour s’asseoir.
It was a garment of fantastic charm, such as must have been worn by the young men who used to dance with our grandmothers, in the days of the dandies.	C’était un vêtement d’une fantaisie charmante, comme devaient en porter les jeunes gens qui dansaient avec nos grands-mères, dans les bals de mil huit cent trente.
I repeat: opinion had crystallized as to the nature of this phenomenon, and the public accepted without argument the existence of a prodigious creature that had nothing in common with the fabled sea serpent.	Je le répète, l'opinion se fit alors sur la nature du phénomène, et le public admit sans conteste l'existence d'un être prodigieux qui n'avait rien de commun avec les fabuleux serpents de mer.
At five o'clock dinner was served in the dining-room of Granite House.	À cinq heures, le dîner fut servi dans la salle de Granite-House.
"Lord Avon, by God!" he cried.	C'est Lord Avon! s'écria-t-il.
Around her head, in her black tresses, there were disks of metal, which glittered in the sun, and formed a coronet of stars on her brow.	Autour de sa tête, dans ses nattes noires, il y avait des plaques de métal qui pétillaient au soleil et faisaient à son front une couronne d’étoiles.
The signal for raising the curtain was given.	On frappa le lever de la toile.
"Any orders, sir?"	« Y a-t-il des ordres pour moi, monsieur ?
"But only a figure?"	-- Rien qu'un individu?
It was difficult to proceed along the dimly lighted deck without stumbling over some half-sleeping convict, who retorted by oaths and kicks.	Cependant, sur cet entre-pont qui était presque obscur, il était difficile de ramper sans heurter quelque convict insuffisamment endormi. De là des jurons et des coups.
All her immediate surroundings, the wearisome country, the middle-class imbeciles, the mediocrity of existence, seemed to her exceptional, a peculiar chance that had caught hold of her, while beyond stretched, as far as eye could see, an immense land of joys and passions.	Tout ce qui l’entourait immédiatement, campagne ennuyeuse, petits bourgeois imbéciles, médiocrité de l’existence, lui semblait une exception dans le monde, un hasard particulier où elle se trouvait prise, tandis qu’au delà s’étendait à perte de vue l’immense pays des félicités et des passions.
"And so then, my dear Baron, I did not kill you? and you, my dear Pangloss, are come to life again after your hanging? But how came you slaves on board a Turkish galley?"	Et comment ne vous ai-je pas tué, mon cher baron? et mon cher Pangloss, comment êtes-vous en vie, après avoir été pendu? et pourquoi êtes-vous tous deux aux galères en Turquie?
People do well.	On fait bien.
Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.	Elle aperçut alors une petite boîte en verre qui était sous la table, l’ouvrit et y trouva un tout petit gâteau sur lequel les mots « MANGEZ-MOI » étaient admirablement tracés avec des raisins de Corinthe.
But it was above all the meal-times that were unbearable to her, in this small room on the ground floor, with its smoking stove, its creaking door, the walls that sweated, the damp flags; all the bitterness in life seemed served up on her plate, and with smoke of the boiled beef there rose from her secret soul whiffs of sickliness.	Mais c’était surtout aux heures des repas qu’elle n’en pouvait plus, dans cette petite salle au rez-de-chaussée, avec le poêle qui fumait, la porte qui criait, les murs qui suintaient, les pavés humides; toute l’amertume de l’existence, lui semblait servie sur son assiette, et, à la fumée du bouilli, il montait du fond de son âme comme d’autres bouffées d’affadissement.
– Mais je viens vous sauver, monsieur del Dongo.	"But I am coming to save you, Signor del Dongo."
Though there was still half an hour of work left he dressed himself.	Bien qu'il y eut encore une demi-heure de travail, il se rhabilla.
Its germ took root.	Le germe prit racine.
The Marquis was really out of his mind.	Le marquis était réellement égaré.
The poor man was about to be cut in half.	Ce malheureux allait être coupé en deux.
Why has Brigham Young, our chief, been imprisoned, in contempt of all justice?	Céderons-nous à la force ?
'Ay,' says I, 'with all my heart, provided I may be concealed.'	--Oui, oui, dis-je, de tout mon coeur, pourvu que je puisse rester inconnue.
"No, my dear Axel, and I would willingly go with you, but that a poor girl would only be in your way."	--Non, cher Axel, et ton oncle et toi, je vous accompagnerais volontiers, si une pauvre fille ne devait être un embarras pour vous.
"You are about to swear upon your honor and I upon my word, and then it will be pretty evident that one of us will have lied.	-- Tu vas jurer sur ton honneur et moi sur ma parole et alors il y aura évidemment un de nous deux qui mentira.
He was Napoleon's orderly officer and was charging a battery.	Il était officier d’ordonnance de Napoléon et chargeait une batterie.
Pencroft did not try to hide that he was greatly excited.	Pencroff ne chercha point à cacher qu'il était extrêmement ému.
For mypart, I should sooner fancy that it is about a marriage for Jean."	Moi, jecroirais bien plutôt qu'il s'agit d'un mariage pour Jean.
"Yes, monsieur, in this house; and we are even a little uneasy--"	-- Oui, monsieur, dans cet hôtel; nous sommes même bien inquiets.
He assured me they lived still there; that they had been there about four years; that the savages left them alone, and gave them victuals to live on.	Il m'assura qu'ils vivaient encore, qu'il y avait quatre ans qu'ils étaient là, que les Sauvages les laissaient tranquilles et leur donnaient de quoi manger.
MIRABEAU	MIRABEAU.
Besides, I am not ill. I am quite well.	D'ailleurs, je ne suis pas malade, je me porte à merveille.
"An accident happens so easily.	-- Un malheur arrive si vite!
I looked at the hunter.	Je regarde le chasseur.
He's still at Edinburgh studying."	Il fait encore ses études à Édimbourg.
Ah, he is not a man like that cursed d’Artagnan.	Ah! ce n'est pas un homme comme ce d'Artagnan maudit.
Look at me--in ecstasy over freshly grilled pork!	Me voici en extase devant une grillade de porc frais !
This thought of Bovary's superiority to her exasperated her.	Cette idée de la supériorité de Bovary sur elle l’exaspérait.
'He is talking to Conte Altamira, my condemned man!' Mathilde said to herself.	Il cause avec le comte Altamira, mon condamné à mort! se dit Mathilde.
I repeat that the lady is his wife and not his sister."	Je vous répète que cette dame est sa femme et non sa sœur.
"No, Mr. Holmes, I have not.	– Non, monsieur Holmes.
Le voici :	It ran in this way—
"No, Pencroft, it was Mr. Spilett."	-- Non, Pencroff, c'est Monsieur Spilett.
On the 8th the captain made out Myganness, the southernmost of these islands, and from that moment took a straight course for Cape Portland, the most southerly point of Iceland.	Le 3, le capitaine reconnut Myganness, la plus orientale de ces îles, et, à partir de ce moment, il marcha droit au cap Portland, situé sur la côte méridionale de l'Islande.
Reentering the lounge, I first noted the bearings of Ceylon, on which antiquity lavished so many different names.	Rentré au salon, je notai d'abord les relèvements de Ceyland, à laquelle l'antiquité avait prodigué tant de noms divers.
He did not listen to the explanations given to him, the necessities of work, the desire to replace women by men for the haulage.	Et il n'écouta point les explications qu'on lui donnait, les nécessités du travail, le désir de remplacer les femmes par des garçons, pour le roulage.
They were waiting for him.	On l’attendait.
Lord de Winter perceived nothing of this.	Lord de Winter ne s'aperçut de rien.
But he found, in reply to this question, that Wickham still cherished the hope of more effectually making his fortune by marriage in some other country.	En réponse a cette question, Wickham laissa entendre qu’il n’avait nullement renoncé a refaire sa fortune dans des conditions plus satisfaisantes, par un mariage riche dans une autre région.
"Whenever, in future, you should chance to fancy Mr. Rochester thinks well of you, take out these two pictures and compare them: say, 'Mr. Rochester might probably win that noble lady's love, if he chose to strive for it; is it likely he would waste a serious thought on this indigent and insignificant plebeian?'"	«Et si jamais, à l'avenir, tu t'imaginais que M. Rochester pense à toi, prends ces deux portraits, compare-les et dis-toi: «Il est probable que M. Rochester pourrait gagner l'amour de cette jeune fille noble, s'il voulait s'en donner la peine; est-il possible qu'il songe sérieusement à cette pauvre et insignifiante institutrice?»
However, I was so enamoured of this place, that I spent much of my time there for the whole of the remaining part of the month of July; and though upon second thoughts, I resolved not to remove, yet I built me a little kind of a bower, and surrounded it at a distance with a strong fence, being a double hedge, as high as I could reach, well staked and filled between with brushwood; and here I lay very secure, sometimes two or three nights together; always going over it with a ladder; so that I fancied now I had my country house and my sea-coast house; and this work took me up to the beginning of August.	Cependant j'étais si enamouré de ce lieu que j'y passai presque tout le reste du mois de juillet, et, malgré qu'après mes réflexions j'eusse résolu de ne point déménager, je m'y construisis pourtant une sorte de tonnelle, que j'entourai à distance d'une forte enceinte formée d'une double haie, aussi haute que je pouvais atteindre, bien palissadée et bien fourrée de broussailles. Là, tranquille, je couchais quelquefois deux ou trois nuits de suite, passant et repassant par-dessus la haie, au moyen d'une échelle, comme je le pratiquais déjà.
"Leave the room!" said Emma.	-- Partez! dit Emma.
Fabrice et ses gens connaissaient les moindres sentiers de la montagne qui sépare Lugano du lac de Côme : ils se déguisèrent en chasseurs, c’est-à-dire en contrebandiers, et comme ils étaient trois et porteurs de mines assez résolues, les douaniers qu’ils rencontrèrent ne songèrent qu’à les saluer.	Fabrizio and his party were familiar with every footpath over the mountain that divides Lugano from the Lake of Como; they disguised themselves as hunters, that is to say as poachers, and as they were three in number and had a fairly resolute bearing, the doganieri whom they passed gave them a greeting and nothing more.
"At least," said a captain, "let every one be free.	—Au moins, dit un porion, que tout le monde soit libre…
Will he leave it again soon?	Qu'est-ce qui l'éloigne de cette maison?
By then we had fared 16,220 miles, or 7,500 leagues, from our starting point in the seas of Japan.	Nous avions fait alors seize mille deux cent vingt milles, ou sept mille cinq cents lieues depuis notre point de départ dans les mers du Japon.
Cependant il se souvenait d’une maxime de l’abbé Blanès :	At the same time he reminded himself of a maxim of Priore Blanès:
In the Cemetery of Pere-Lachaise a gentleman who seemed highly obliging, and even more Liberal in his speech, offered to guide Julien to the tomb of Marshal Ney, from which a wise administration has withheld the honour of an epitaph.	Au cimetière du Père-Lachaise, un monsieur fort obligeant, et encore plus libéral dans ses propos, s’offrit pour indiquer à Julien le tombeau du maréchal Ney, qu’une politique savante prive de l’honneur d’une épitaphe.
